source_url,related,animal_context_summary,affect_summary.,date_introduced,affect_summary,raw_output,mentions_of_lobbying,bill_title,sentiment_towards_animal_welfare,id,summary,ministry,animal_agriculture_relevant
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/1409LS.pdf?source=legislation,no,No animal-related content found as the bill text is empty.,"As the provided bill text is empty, there is no content to analyze how it might affect animal welfare policy. Therefore, it has no discernible effect based on the given information.",N/A - No content provided,,,[],N/A - No content provided,Neutral - No content to assess sentiment,11,"The provided bill text is empty. Therefore, no summary can be generated.",N/A - No content provided,False
https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/07_prevention of Cruelty_saket-E29202470802PM.pdf?source=legislation,yes,"The bill is entirely focused on animal welfare. It aims to enhance the protection of animals by increasing the severity of penalties for acts of cruelty. It recognizes animals as sentient beings capable of feeling pain, love, grief, and exhibiting emotional intelligence, emphasizing the need for their protection from torture and sadistic acts.","This bill significantly strengthens animal welfare policy by making the legal consequences for animal cruelty substantially more severe. By introducing imprisonment and increasing fines by several orders of magnitude, it aims to act as a stronger deterrent against abuse and provide the judiciary with more effective means to punish offenders. This aligns with a policy shift towards recognizing animals as sentient beings deserving of greater legal protection.","2nd February, 2024",,,"['Shri Saket Gokhale, M.P. (proposer of the bill)']","THE PREVENTION OF CRUELTY TO ANIMALS (AMENDMENT) BILL, 2023",Positive,12,"This bill proposes to amend the Prevention of Cruelty to Animals Act, 1960, to increase the penalties for cruelty towards animals. It seeks to replace the current fine of up to two hundred rupees with imprisonment for a term which may extend to 6 months and a fine which may extend to one lakh rupees. The objective is to provide a more proportionate and deterrent punishment for offenders, acknowledging animals as sentient beings.","This is a Private Member's Bill introduced by Shri Saket Gokhale, M.P. No specific ministry is listed as responsible for its introduction.",True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/186ls-05.pdf?source=legislation,yes,"The bill explicitly modifies the Prevention of Cruelty to Animals Act, 1960, by amending Section 11(3) to add clause (f), which exempts 'any bull fight or Dhirio organized in the prescribed manner' from general cruelty prohibitions. It further introduces a new section (13A) detailing requirements for organizing these events, including mandatory prior permission from a District Magistrate, a formal application process, and a duty to ensure bulls' horns are sufficiently covered to prevent injury. 'Dhirio' is defined as a traditional game for trial of strength between bulls, as organized in the State of Goa.","If enacted, this bill would significantly alter animal welfare policy by creating a legal exception for traditional bullfights and Dhirio that are currently restricted under the Prevention of Cruelty to Animals Act, 1960. It establishes a regulatory framework for these events, including permission and basic safety measures (horn covering), but fundamentally prioritizes cultural practices over the comprehensive prevention of cruelty for these specific animal contests. This could be seen as weakening the Act's protective scope and potentially setting a precedent for similar exemptions for other traditional animal events.","November 27, 2008",,,"Shri Francisco Sardinha, M.P. is the introducer. The 'STATEMENT OF OBJECTS AND REASONS' mentions agitation from 'People in the villages of the State of Goa' over restrictions on events like Dhirio, indicating community-level pressure for this amendment.","THE PREVENTION OF CRUELTY TO ANIMALS (AMENDMENT) BILL, 2009","Negative (as it seeks to exempt specific animal events, previously restricted due to cruelty concerns, from the purview of the existing anti-cruelty act. While it adds some conditions for safety, the fundamental aim is to legalize activities that involve animal-on-animal interaction for entertainment, which generally goes against animal welfare principles.)",13,"This bill, the Prevention of Cruelty to Animals (Amendment) Bill, 2009, seeks to amend the Prevention of Cruelty to Animals Act, 1960. Its primary objective is to exempt traditional events like bullfights or 'Dhirio' from the Act's purview, allowing them to be organized with prior permission from authorities and under specific conditions aimed at minimizing injury to the animals. This aims to address public agitation in states like Goa regarding restrictions on such festivities.","Not specified (introduced by Shri Francisco Sardinha, M.P.)",True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/1153LS.pdf?source=legislation,yes,"The core of the bill focuses on the humane treatment of animals by removing a religious exemption. It proposes to omit Section 28 of the 1960 Act, which stated: 'Nothing contained in this Act shall render it an offence to kill any animal in a manner required by the religion of any community.' The purpose is to prohibit 'bali/sacrifice or killing or inflicting cruelty to animals in the name of religion,' arguing that such practices are against the spirit of the Constitution, law, and modern humanism.","This bill, if enacted, would significantly strengthen animal welfare policy by removing a critical legal loophole that allows cruelty and killing of animals under the guise of religious practices. It would provide law enforcement with the clear authority to prevent and prosecute animal sacrifices and other religiously motivated acts of cruelty, thereby promoting a more consistent and robust application of animal protection laws and potentially reducing instances of organized animal harm.","August 2, 2011",,,"['Shri Mohan Jena, M.P. (introducer of the bill)']","THE PREVENTION OF CRUELTY TO ANIMALS (AMENDMENT) BILL, 2011",Positive,14,"This bill proposes to amend the Prevention of Cruelty to Animals Act, 1960, by omitting Section 28. Section 28 currently provides an exemption for killing animals in a manner required by religion. The bill aims to ban animal sacrifice (bali) and other forms of cruelty to animals in the name of religion, citing constitutional duties and a need for a more scientific and humane approach.","Not specified (Private Member's Bill introduced by Shri Mohan Jena, M.P.)",True
https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/07_prevention%20of%20Cruelty_saket-E29202470802PM.pdf?source=legislation,yes,"The bill focuses on enhancing animal welfare by increasing the penalties for cruelty. Specifically, it amends Section 20(b) of the Prevention of Cruelty to Animals Act, 1960, to introduce imprisonment (up to 6 months) and significantly raise the fine (up to one lakh rupees) for offenders. The 'STATEMENT OF OBJECTS AND REASONS' highlights the sentient nature of animals, their inability to seek justice, and the need for deterrent punishment to protect them from sadistic and wanton torture.","This bill would significantly strengthen animal welfare policy by making penalties for animal cruelty substantially more severe, introducing imprisonment as an option, and increasing fines by a factor of 500. This aims to provide a stronger deterrent against animal abuse, enable more proportionate sentencing by the judiciary, and reflect a more contemporary societal value of compassion and protection for animals, recognizing them as sentient beings. It could lead to a decrease in reported instances of severe animal cruelty due to the increased legal consequences.","2nd February, 2024",,,"['Shri Saket Gokhale, M.P.']","THE PREVENTION OF CRUELTY TO ANIMALS (AMENDMENT) BILL, 2023",Positive,15,"This bill proposes to amend the Prevention of Cruelty to Animals Act, 1960. Its primary aim is to increase the penalties for committing acts of cruelty towards animals. Currently, the penalty is a fine up to two hundred rupees. The amendment seeks to substitute this with imprisonment for a term up to 6 months and a fine up to one lakh rupees, reflecting a commitment to deter cruel acts and ensure more proportionate punishment.",Not applicable; this is a Private Member's Bill introduced by a Member of Parliament.,True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/3312LS.pdf?source=legislation,yes,"The bill's core focus is on animal transportation. It amends Section 38 of the Prevention of Cruelty to Animals Act, 1960, which grants power to make rules. The proposed new clause (ha) specifies that rules should ensure ""the number of animals to be transported in a vehicle is in proportion to the carrying capacity of the vehicle."" The 'Statement of Objects and Reasons' explicitly mentions common livestock such as ""cows, buffaloes, bulls, sheep, goats, etc."" as animals whose transportation numbers are currently restricted, impacting vehicle owners economically.",,"November 7, 2012","This bill is likely to have a negative impact on animal welfare policy. While it states the goal of ensuring the number of animals is 'in proportion to the carrying capacity,' its primary stated motivation is to address 'economic loss' for transporters and to allow 'more' animals to be transported in modern, larger vehicles. This shift prioritizes economic efficiency over the specific welfare considerations that previous limits might have embodied. By facilitating higher density transportation, there is an increased risk of overcrowding, stress, injury, and compromised welfare for animals during transit, unless stringent and welfare-centric rules for 'proportionality' are subsequently enacted and strictly enforced by the Central Government, which are not detailed in this bill.",,"['Dr. Mahendrasinh P. Chauhan, M.P.']","THE PREVENTION OF CRUELTY TO ANIMALS (AMENDMENT) BILL, 2012",Negative,16,"This bill proposes an amendment to the Prevention of Cruelty to Animals Act, 1960, by inserting a new clause (ha) into Section 38(2). The amendment aims to allow the number of animals transported in a vehicle to be proportional to its carrying capacity. The stated reason is to modernize the law in light of advanced vehicle technology and to mitigate economic losses for vehicle owners due to current restrictions on the number of animals like cows, buffaloes, and sheep that can be transported.","Not applicable (Private Member's Bill introduced by Dr. Mahendrasinh P. Chauhan, M.P.)",True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/988LS.pdf?source=legislation,yes,"The bill defines 'wild animal' by referencing the Wild Life Protection Act, 1972. It establishes a framework for compensating persons attacked by wild animals. Crucially, it denies compensation if the person was engaged in hunting, capturing, attacking (unless self-defense), straying into exclusive wild animal areas, or committing acts of torture, cruelty, or exploitation towards a wild animal.","While primarily focused on human welfare through compensation, this bill has a positive indirect effect on animal welfare policy. By explicitly denying compensation to individuals who provoke, hunt, or engage in cruelty towards wild animals, it reinforces the protective measures for these animals. This discourages harmful human behaviors and promotes a more responsible approach to human-wildlife interactions, thereby supporting animal welfare by not incentivizing actions detrimental to wild animal populations or individual animals.","June 30, 2014",,,"['SHRI M.K. RAGHAVAN, M.P.']","THE PAYMENT OF COMPENSATION TO PERSONS ATTACKED BY WILD ANIMALS BILL, 2014",Positive,17,"This bill proposes a scheme for the Central Government to provide compensation to individuals affected by wild animal attacks across India. The scheme includes provisions for compensation in cases of death, injury, and property/crop damage. It also outlines specific circumstances under which compensation will not be paid, particularly if the person provoked or harmed the wild animal.",Central Government (specific ministry not stated),False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2559LS.pdf?source=legislation,yes,"The bill's core subject is the financial compensation for harm caused by 'wild animals', defined as per the Wild Life Protection Act, 1972. It explicitly states that compensation will not be paid if the person was involved in hunting, capturing, attacking (unless self-defense), torturing, or exploiting a wild animal, thereby creating a disincentive for cruel or harmful acts against them. Wild animals are central as the agents of harm for which compensation is sought.","While primarily focused on human welfare and compensation for human-wildlife conflict, this bill positively affects animal welfare policy by establishing clear disincentives for cruel, exploitative, or harmful human interactions with wild animals. By withholding compensation under such circumstances, it indirectly reinforces existing wildlife protection laws and promotes responsible human behavior towards wild animals.","August 7, 2012",,,"None mentioned other than the introducing Member of Parliament, Shri M.K. Raghavan.","THE PAYMENT OF COMPENSATION TO PERSONS ATTACKED BY WILD ANIMALS BILL, 2012",Positive,18,"This bill proposes a scheme for the Central Government to provide compensation to individuals attacked by wild animals, including cases of death (₹2 lakh) or injury (₹50 thousand), as well as damage to property or crops. It also includes an insurance scheme for those living near wild animal habitats. Compensation is withheld if the person engaged in hunting, attacking (except self-defense), torturing, or exploiting wild animals.","Central Government (specific ministry not specified, likely Environment, Forest and Climate Change or Home Affairs, but not explicitly stated)",True
https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/cow-E.pdf?source=legislation,yes,"The bill broadly defines 'animal' to include all domestic animals (cow, progeny, buffalo, goat, sheep, camel, horse), captive, performing, and stray animals. It explicitly prohibits the slaughter of cows, their progeny, and all other milch animals for consumption or export. It also bans practices like 'phooka or doomdev' (introducing air/substances into female organs to draw milk) and injecting oxytocin for milk extraction. Furthermore, it outlines duties for animal caregivers and the general public to ensure animal welfare by preventing thirst, hunger, discomfort, pain, injury, disease, fear, and promoting normal behavior. Severe penalties, including imprisonment (up to 10 years) and fines (up to two lakh rupee), are prescribed for violations such as slaughter or various forms of cruelty.",,"13th March, 2015","This bill, if enacted, would significantly strengthen animal welfare policy in India by introducing a nationwide prohibition on the slaughter of cows, their progeny, and other milch animals, which would have major implications for the meat and dairy industries. It also broadens the scope of animal cruelty prevention by defining a wide range of cruel acts and laying down specific duties for animal caregivers and the public to ensure animal well-being. The nationwide application would ensure a uniform approach to animal welfare, promoting more humane treatment of animals, particularly livestock, and establishing stringent legal consequences for non-compliance.",,"The bill mentions 'society' and 'welfare organization' established for animal welfare, which would be recognized by the appropriate government. However, it does not name specific lobbying groups, companies, or politicians involved in influencing the bill.","THE COW AND OTHER MILCH ANIMALS (PROHIBITION OF SLAUGHTER, CRUELTY AND OTHER PROVISIONS) BILL, 2015",Positive,19,"This bill, introduced in 2015, aims to prohibit the slaughter and export of meat from cows, their progeny, and other milch animals across India. It also seeks to prevent cruelty, trauma, pain, and suffering to all domestic, captive, and stray animals through welfare measures. The bill defines duties for caregivers and the public, prohibits specific harmful practices like 'phooka', and establishes strict penalties for violations.",Not explicitly mentioned in the provided text; implementation is by the Central Government.,True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/70LS AS INTRO.pdf?source=legislation,yes,"The bill broadly defines 'animal' to include domestic animals like cows, buffaloes, goats, sheep, camels, and horses, as well as captive, performing, and stray animals. It explicitly prohibits the slaughter of cows, their progeny, and all other milch animals, regardless of food habits, religious belief, or purpose (including rituals or export). Furthermore, it mandates that every person caring for an animal ensures its welfare by preventing thirst, hunger, discomfort, pain, injury, and disease, allowing normal behavior, and protecting it from fear and distress. Specific cruel practices like 'phooka' (introducing air/substance into female organ to draw milk) and administering oxytocin or other medicines for milk extraction are prohibited. The bill also criminalizes physical abuse, overworking, neglect, improper confinement, and mutilation of animals, imposing severe penalties including imprisonment and fines for violations.","This bill significantly impacts animal welfare policy by establishing a stringent, nationwide prohibition on the slaughter of specific animals, primarily cows and other milch animals, which directly affects the meat and dairy industries. It centralizes and strengthens animal protection laws by defining comprehensive duties for animal caregivers, criminalizing various forms of cruelty (including specific dairy practices like 'phooka' and oxytocin administration), and prescribing severe penalties for violations. If enacted, it would fundamentally alter traditional practices, industries, and food habits related to these animals across India, promoting a more humane approach as defined by the bill's provisions.",2015 (specific date not provided in the text),,,"['SHRI NISHIKANT DUBEY, MP (Introducer of the bill)']","THE COW AND OTHER MILCH ANIMALS (PROHIBITION OF SLAUGHTER, CRUELTY AND OTHER PROVISIONS) BILL, 2015",Positive,20,"This bill aims to establish a nationwide prohibition on the slaughter of cows, their progeny, and other milch animals for meat consumption, export, or any other purpose. It also seeks to prevent cruelty, trauma, pain, and suffering in animals, promoting humane treatment and welfare measures. The bill outlines duties for animal caregivers and the public to ensure animal well-being and prohibits practices like 'phooka' or administering oxytocin for milk extraction.",Not specified in the provided text.,True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/2879LS.pdf?source=legislation,yes,"The bill seeks to replace Section 28 of the original Act. The new Section 28 outlines provisions for sacrificial killing of animals during religious occasions. It requires the Central Government to notify these occasions. During such events, killing an animal is not an offence if done 'in a manner required by the religion'. Critically, it mandates that these acts of killing must be carried out in isolation, out of the view of other sacrificial animals, and performed by trained persons using prescribed methods to ensure minimum pain and trauma.","This bill would positively affect animal welfare policy by introducing specific regulations for religious animal sacrifice, a practice previously broadly exempted from cruelty provisions. By requiring isolation during slaughter, mandating trained personnel, and prescribing humane methods, it aims to significantly reduce the suffering of animals within this specific context. It shifts from a blanket exemption to a regulated framework, demonstrating a commitment to minimizing cruelty even when allowing the practice of sacrifice.","November 13, 2015",,,"None mentioned other than the sponsoring Member of Parliament, Shri Bhartruhari Mahtab.","The Prevention of Cruelty to Animals (Amendment) Bill, 2015",Positive,21,"This bill proposes to amend the Prevention of Cruelty to Animals Act, 1960, specifically targeting animal sacrifice during religious occasions. It mandates the Central Government to notify such occasions and stipulates that sacrifices must be carried out in isolation, by trained persons, and using methods prescribed to ensure minimum pain and trauma to the animals. The aim is to mitigate cruelty while acknowledging customary religious practices.","Central Government (for implementation); Introduced as a Private Member's Bill by Shri Bhartruhari Mahtab, M.P.",True
